Crop,Season,State,Soil_Type,Area_ha,Nitrogen,Phosphorus,Potassium,pH,Temperature,Humidity,Rainfall,Fertilizer,Pesticide,Irrigation,Yield_ton_per_ha
Maize,Rabi,Andhra Pradesh,Loamy,1.0,118.4,49.1,40.2,6.74,26.1,82.8,499.8,271.3,21.77,0,7.0
Rice,Kharif,Uttar Pradesh,Clay,497.69,75.1,44.9,37.3,6.06,27.7,77.0,464.5,39.0,12.04,0,3.075
Banana,Zaid,Uttar Pradesh,Loamy,5.0,123.1,74.0,309.6,6.49,28.1,60.2,488.6,150.6,9.66,0,44.6
Maize,Rabi,Bihar,Sandy Loam,112.0,79.8,35.8,31.2,6.84,26.4,55.7,1017.9,178.7,5.86,0,3.045
Maize,Zaid,Karnataka,Sandy Loam,469.0,148.2,38.1,42.4,7.2,25.0,85.2,1361.4,208.1,0.96,1,3.033
Maize,Kharif,Rajasthan,Sandy Loam,382.5,79.5,36.4,27.2,5.53,25.8,74.0,369.4,189.8,21.75,0,1.099
Cotton,Kharif,Gujarat,Black,499.84,42.2,49.2,24.4,5.72,30.5,56.4,903.1,298.4,22.76,1,0.821
Sugarcane,Whole Year,Andhra Pradesh,Black,498.96,289.1,86.4,63.8,6.77,22.4,68.2,1025.0,222.0,13.93,0,87.847
Barley,Rabi,Bihar,Clay,9.0,52.4,36.1,29.3,6.61,25.3,57.4,1515.6,149.6,17.33,0,1.111
Groundnut,Kharif,Maharashtra,Loamy,300.0,20.0,59.1,55.0,6.35,25.8,64.3,1057.7,318.9,9.34,0,0.667
Groundnut,Kharif,Karnataka,Loamy,493.31,14.3,58.0,34.1,5.57,24.8,78.2,645.7,240.7,11.71,1,0.589
Sugarcane,Whole Year,Karnataka,Loamy,493.91,272.5,42.5,79.2,7.0,29.2,78.0,913.0,86.0,2.45,0,132.05
Potato,Rabi,Uttar Pradesh,Sandy Loam,466.91,112.0,64.1,63.2,6.02,24.3,61.3,1187.4,193.3,12.19,0,15.893
Cotton,Whole Year,Tamil Nadu,Loamy,454.67,102.8,33.4,29.0,8.02,29.3,47.7,1171.2,293.0,8.29,0,0.445
Rice,Zaid,Bihar,Clay,493.0,106.8,57.7,30.0,5.42,22.2,85.4,898.9,141.3,6.6,1,1.45
